Date,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOGL,INTC,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,INTC,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,INTC,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,INTC,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,INTC,META,MSFT,NVDA,TSLA
2024-03-27,171.90765380859375,179.8300018310547,149.7386016845703,43.318145751953125,490.9544677734375,416.0067138671875,90.20398712158203,179.8300018310547,172.19531573949365,180.0,150.50283159628924,43.37752770777571,496.94902070729796,418.9878695106981,93.19246057085654,181.91000366210938,168.7335497446837,177.30999755859375,147.78337375554537,42.061256001916675,485.1985538197875,413.61787312123863,89.07756280706721,176.0,169.03112531152695,179.8800048828125,150.0462745317352,42.100843972465064,496.3624651462264,418.9779885582823,93.06452747722804,181.41000366210938,60273300,33272600,22879200,51017800,9989700,16705000,586067000,81804000
2024-03-28,170.09243774414062,180.3800048828125,149.79815673828125,43.714012145996094,482.72320556640625,415.30584716796875,90.30992126464844,175.7899932861328,170.83636899843572,181.6999969482422,150.2944071987847,44.139573371770645,489.9902270320551,416.4410420434957,91.25344006885744,179.57000732421875,169.13028544442668,179.25999450683594,149.0438614902864,43.25876183131705,482.2957426384375,413.7264311944793,89.14751238127785,175.3000030517578,170.36025723357648,180.1699981689453,149.71876999163942,43.30824490459669,489.9405029909663,415.54274902029323,89.95410001839039,177.4499969482422,65672700,38051600,24485400,54204200,15212800,21871200,435212000,77654800
2024-04-01,168.65420532226562,180.97000122070312,154.32398986816406,44.060401916503906,488.4592590332031,419.1063537597656,90.3169174194336,175.22000122070312,169.86433493378763,183.0,154.57211512447668,44.94121347108948,494.50347537416116,422.3836369877504,92.17796738530402,176.75,168.1086526063626,179.9499969482422,149.48058001874543,43.72391172736055,478.94555469115943,416.78658912173853,89.15851187965868,170.2100067138672,169.80482284392966,180.7899932861328,149.55998191808914,43.832776755512306,484.33368069090426,418.494337158426,90.25295469319977,176.1699981689453,46240500,29174500,31730800,31712600,9247000,16316000,452441000,81562100
2024-04-02,167.4738311767578,180.69000244140625,153.4009246826172,43.486385345458984,494.4438781738281,416.0166320800781,89.4063949584961,166.6300048828125,167.96978543762384,180.7899932861328,153.53987419197475,43.62494323084944,494.60294050567774,416.944537944627,90.04806591651656,167.69000244140625,166.86876637308836,178.3800048828125,151.0089940660557,43.05092903160946,481.79871100314176,412.4629532504076,87.57532830065864,163.42999267578125,167.71189467068976,179.07000732421875,152.34887623400127,43.47649024130356,482.2460757075962,414.7037305350885,88.40290143443588,164.75,49329500,32611500,24586000,32748400,11081000,17912000,433064000,116650600
2024-04-03,168.2772674560547,182.41000366210938,153.7582244873047,39.91366195678711,503.7587585449219,415.03936767578125,88.91863250732422,168.3800048828125,169.29893197888933,182.8699951171875,153.91702825239753,41.22003486058666,504.25581696566337,417.8132042224073,90.32791718260744,168.82000732421875,167.21593325359058,179.8000030517578,151.5846452787233,39.80479691891767,495.815774689645,413.6968534411064,88.35492473761427,163.27999877929688,167.4242255584593,179.89999389648438,152.44813128619023,40.97261569281679,495.99470843998273,414.32863193386083,88.43888153844358,164.02000427246094,47691700,31046600,24705000,83718000,12099200,16502300,370067000,82950100
2024-04-04,167.45399475097656,180.0,149.40118408203125,39.31985092163086,507.9141540527344,412.50238037109375,85.8611831665039,171.11000061035156,170.5289019190824,185.10000610351562,153.6093940490146,40.3590105980652,526.8818886970938,423.1535341879721,90.58777505707383,177.19000244140625,167.45399475097656,180.0,149.3217821795186,39.29016183168939,507.5761276530795,412.19637211672654,85.83619439258581,168.00999450683594,168.9120862737285,184.0,152.34891345621864,40.170973402908174,513.3817659558945,419.52086856783245,90.35988689456467,170.07000732421875,53704400,41624300,34724700,57307200,26476300,19370900,434965000,123162000
2024-04-05,168.2078399658203,185.07000732421875,151.35641479492188,38.31038284301758,524.237548828125,420.0440673828125,87.96312713623047,164.89999389648438,169.01128340394683,186.27000427246094,152.26951397177075,39.0526403426771,527.5777665151929,421.0213477789878,88.43588552210704,170.86000061035156,167.58293278713433,181.97000122070312,148.47816771886264,38.11244675471166,511.38356597372723,412.9367406484567,85.88218803532831,160.50999450683594,168.217753601793,182.3800048828125,148.90493591423527,38.943775305343,513.8191641240741,414.6049948261761,86.82170353525082,169.0800018310547,42104800,42374000,23459200,67263000,19263300,16554800,399678000,143157600
2024-04-08,167.0869903564453,185.19000244140625,153.68875122070312,37.58791732788086,516.1951293945312,419.1260986328125,87.08856964111328,172.97999572753906,167.83092176064616,187.2899932861328,154.1055997292982,38.4588338048539,528.363108870354,421.78148438919783,88.78470285055779,174.5,166.87869803905005,184.80999755859375,151.4655440305028,37.518640266960844,515.8372619219651,417.8526907492084,86.68777315554529,167.7899932861328,167.6622991252661,186.89999389648438,151.6342673450989,38.24110374178147,526.1661496559301,419.69865168894506,88.65476426391245,169.33999633789062,37425500,39221300,20702000,56967800,13260600,14272400,283220000,104423300
2024-04-09,168.29713439941406,185.6699981689453,155.42564392089844,37.934303283691406,513.8590087890625,420.7943420410156,85.31045532226562,176.8800048828125,168.7038205676874,187.33999633789062,157.37093716554625,38.18172241669127,522.7762075444691,422.23554534749115,87.59029759028141,179.22000122070312,166.98782288624614,184.1999969482422,154.02621404495505,36.94462675169194,503.7587479141373,416.19430642939574,82.97965182031417,171.9199981689453,167.33498182341344,187.24000549316406,154.91945877952742,37.65719128751643,519.1576077555757,420.9522866687586,87.39739525078261,172.91000366210938,42373800,36520100,31079500,78671700,10863800,12496900,501700000,102951700
2024-04-10,166.4224090576172,185.9499969482422,154.96910095214844,36.81597137451172,516.7717895507812,417.81317138671875,86.99462127685547,171.75999450683594,167.72180678766216,186.27000427246094,155.43557761990488,37.82544198969589,519.4857091896904,418.5732515840266,87.35543726810234,174.92999267578125,165.75783217031642,182.6699981689453,153.52004287147383,36.63782927916647,502.82430073937064,414.29898664030566,83.66631737551937,170.00999450683594,167.43415997850798,182.77000427246094,155.03858328938844,37.62750590872153,506.29378924573456,416.7569337473859,83.8832095968993,173.0399932861328,49709300,35879200,22838600,51108400,11418500,16216600,431929000,84532400
2024-04-11,173.62367248535156,189.0500030517578,158.21458435058594,37.24153137207031,520.0822143554688,422.423095703125,90.56978607177734,174.60000610351562,174.04028741115994,189.77000427246094,158.48254871038773,37.28111556667766,520.7781083790892,423.8445672043753,90.69272444380793,175.8800048828125,166.79935169580833,185.50999450683594,155.28670949781988,36.697209999223986,514.2467525168023,416.9247670576537,86.8816730383785,168.50999450683594,166.97788797659143,186.74000549316406,155.73333190851926,37.04359529776712,518.0442866746477,420.34026309183247,87.37541678298889,172.5500030517578,91070300,40020700,27166400,41909100,10369500,17966400,431637000,94516000
